id,name
agent_mrs._joe_gargery/7431ac35,Mrs. Joe Gargery
agent_narrator/37556653,Narrator
agent_joe_gargery/af33a549,Joe Gargery
agent_he/4abff6fb,He
agent_he/3b5556e7,He
agent_the_man/f229ce8f,The man
agent_narrator/d745819a,Narrator
agent_the_man/ac6beb2b,The man
agent_the_man/cda34cea,The man
agent_narrator/f7a623b4,Narrator
agent_the_man/c49f70bf,The man
agent_narrator/7cbec3ba,Narrator
agent_the_man/bea02b79,The man
agent_narrator/b9b50ea4,Narrator
agent_narrator/306239e1,Narrator
agent_the_man/7b3ad895,The man
agent_unknown_speaker/141ea075,Unknown Speaker
agent_unknown_speaker/2149c1bc,Unknown Speaker
agent_listener/9b8f56c6,Listener
agent_he/8787b2c8,He
agent_me/5ff3e9b6,Me
agent_i/1af43228,I
agent_i/e7c7119f,I
agent_unknown_character/d73c761f,Unknown character
agent_unknown_character/d65d30c4,Unknown character
agent_unknown_character/dff46689,Unknown character
agent_other_character/2e8fe3f8,Other character
agent_narrator/aa90a7c3,Narrator
agent_narrator/f7bc3e8f,Narrator
agent_narrator/3dbfec5e,Narrator
agent_him/b30166dd,Him
agent_narrator/cab5d8f2,Narrator
agent_him/43d35e8a,Him
agent_narrator/26f2e094,Narrator
agent_narrator/517ad3c6,Narrator
agent_he/08dde3ae,He
agent_me/69f33267,me
agent_the_church/6c3ccfcb,the church
agent_he/2d671045,He
agent_me/cde5ce8f,me
agent_i/5d40dfcb,I
agent_he/31a66681,He
agent_convict/b196da49,Convict
agent_pip/9f6cf5ed,Pip
agent_convict/6d911fa5,Convict
agent_pip/68cfe51c,Pip
agent_pip/b3a3cda8,Pip
agent_convict/4a68021d,Convict
agent_convict/c9da4e99,Convict
agent_convict/3f66f2f1,Convict
agent_pip/bbf8dca1,Pip
agent_boy/005f8a8e,boy
agent_boy/6f040599,boy
agent_boy/7d29b3be,boy
agent_boy/c68beea2,boy
agent_boy/bbd85b1d,boy
agent_boy/adffe533,boy
agent_that_young_man/83331623,that young man
agent_boy/a6aa5575,boy
agent_that_young_man/a5822ebf,that young man
agent_boy/37e785c2,boy
agent_narrator/28d5c218,narrator
agent_that_young_man/1d0c5652,that young man
agent_boy/690ff130,boy
agent_narrator/c9f90bd2,narrator
agent_narrator/56888b92,narrator
agent_narrator/ecf615d7,narrator
agent_boy/bb44d2cb,boy
agent_i/a3bc6a03,I
agent_him/87530f44,him
agent_i/d6b15a9a,I
agent_him/51445fb9,him
agent_i/254ec4a2,I
agent_the_man/71ef8269,The man
agent_he/ec03cbc6,He
agent_he/8a9a5617,He
agent_listener/9fc90f1a,Listener
agent_he/5d0ab074,He
agent_listener/7c9bfdbc,Listener
agent_he/f623ac32,He
agent_listener/47dfc102,Listener
agent_he/ec37c2af,He
agent_he/4244f915,He
agent_he/cb7b6f7a,He
agent_he/6fa6ef5e,He
agent_he/bf0a3633,He
agent_i/df505049,I
agent_he/d48d2a0a,He
agent_he/658c86eb,He
agent_dead_people/d84c1133,Dead people
agent_he/2066ae3c,He
agent_he/f475bc0b,He
agent_he/18a5c15a,He
agent_he/d37854bf,He
agent_i/b4d7d5ef,I
agent_i/ccdbefda,I
agent_i/936f4fc8,I
agent_i/b6ae492e,I
agent_he/1571adc6,He
agent_he/d10c8bb3,He
agent_he/eaaab4b4,He
agent_narrator/5ff04ec8,Narrator
agent_marshes/9d5939f1,Marshes
agent_river/4bd424c9,River
agent_sky/561cbb2d,Sky
agent_narrator/0c716005,Narrator
agent_narrator/20e80deb,Narrator
agent_narrator/f93ec220,Narrator
agent_beacon/422cca12,Beacon
agent_narrator/d9a7b1e2,Narrator
agent_man/3e1427a1,Man
agent_narrator/30684883,Narrator
agent_man/935d8912,Man
agent_man/d9582b15,Man
agent_man/18643982,Man
agent_narrator/120f7f39,Narrator
agent_narrator/68153440,Narrator
agent_cattle/c951ef5d,Cattle
agent_narrator/f7ce7352,Narrator
agent_cattle/e8048ea9,Cattle
agent_narrator/88c97918,Narrator
agent_narrator/d339c913,Narrator
agent_narrator/808967a0,Narrator
agent_narrator/f1fdab31,Narrator
agent_narrator/72b9f81c,Narrator
agent_mother/02bd580c,Mother
agent_narrator/a24bbc44,Narrator
agent_mother/3ec39b30,Mother
agent_the_man/e8920ab3,The man
agent_pip/a39b3903,Pip
