:ID,factor
why_powerlessness/877c4aa9,Powerlessness
why_to_give_a_greater_sense_of_hel/9d4101c8,To give a greater sense of helplessness and danger
why_tilted_over_by_abel_magwitch/47889c8b,Tilted over by Abel Magwitch
why_tilted_over_by_abel_magwitch/b4d67930,Tilted over by Abel Magwitch
why_desire_for_escape/47d690c5,Desire for escape
why_desire_for_sustenance/7d3ad17c,Desire for sustenance
why_coercion_to_comply_with_demand/961e4660,Coercion to comply with demands
why_to_intimidate_philip_pirrip/a1778aef,To intimidate Philip Pirrip
why_fear_of_falling/820feede,Fear of falling
why_desire_to_avoid_sickness/f4c1ddc5,Desire to avoid sickness
why_desire_to_attend_more/b86ba268,Desire to attend more
why_fear_of_the_situation/ec14ed0c,Fear of the situation
why_desire_for_survival/e4167ff6,Desire for survival
why_threatening_philip_pirrip/3f56092d,Threatening Philip Pirrip
why_desire_for_control/6d4e0a27,Desire for control
why_instilling_fear/67ebc43f,Instilling fear
why_creating_a_sense_of_threat/2e87770f,Creating a sense of threat
why_establishing_dominance/59222519,Establishing dominance
why_threat_from_abel_magwitch/65dac58a,Threat from Abel Magwitch
why_desire_for_safety/d876bb77,Desire for safety
why_desire_for_safety/a97971c5,Desire for safety
why_desire_for_comfort/2ab28541,Desire for comfort
why_desire_for_safety/0c0e34fe,Desire for safety
why_desire_to_reach_the_boy/bb508548,Desire to reach the boy
why_desire_to_harm/82fe3478,Desire to harm
why_desire_to_protect/99036023,Desire to protect
why_struggle_to_protect/0659ad23,Struggle to protect
why_fear/e66db17d,Fear
why_desperation/0124e26d,Desperation
why_fear/83b0940f,Fear
why_desperation/ecac17be,Desperation
why_injury/dd456aee,Injury
why_fear/9a8310bd,Fear
why_fear/201ad554,Fear
why_paranoia/3a45e4aa,Paranoia
why_fear/6c5ce2e3,Fear
why_imagined_threat/cf068b68,Imagined threat
why_fear/4236acfa,Fear
why_imagined_threat/622f5948,Imagined threat
why_injury_to_feet/849cbf83,Injury to feet
why_fear_of_the_horrible_young_man/f8f2d704,Fear of the horrible young man
why_fear_of_the_horrible_young_man/7a57481b,Fear of the horrible young man
why_fear_of_the_horrible_young_man/b20c3aef,Fear of the horrible young man
why_fear_of_the_horrible_young_man/c51df196,Fear of the horrible young man
why_lack_of_personal_knowledge_about_parents/992abb81,Lack of personal knowledge about parents
why_childish_conclusion/9880cd6a,Childish conclusion
why_childish_conclusion/ff4ea4bd,Childish conclusion
why_sorrow_for_his_brothers'_fate/e4e6f229,Sorrow for his brothers' fate
why_sorrow_for_his_brothers'_fate/74c2a7d6,Sorrow for his brothers' fate
why_sorrow_for_his_brothers'_fate/dc5116ee,Sorrow for his brothers' fate
why_sorrow_for_his_brothers'_fate/e83c2a01,Sorrow for his brothers' fate
why_sorrow_for_his_brothers'_fate/41124af2,Sorrow for his brothers' fate
why_sorrow_for_his_brothers'_fate/9bf7656e,Sorrow for his brothers' fate
why_sorrow_for_his_brothers'_fate/4e6b9463,Sorrow for his brothers' fate
why_fear_of_the_bleak_place/8be1125f,Fear of the bleak place
why_fear_of_the_wind/66d6edda,Fear of the wind
why_fear_of_the_sea/f82c0380,Fear of the sea
why_fear_of_the_bleak_place/613d0179,Fear of the bleak place
why_fear_of_the_wind/fea9fcab,Fear of the wind
why_fear_of_the_sea/86a288a3,Fear of the sea
why_anger/77c9b0a0,Anger
why_desire_to_instill_fear/861d2b3f,Desire to instill fear
why_desperation/3dc7650a,Desperation
why_demand_for_compliance/a0bd02cc,Demand for compliance
why_demand_for_compliance/622244f5,Demand for compliance
why_demand_for_compliance/0f1456f7,Demand for compliance
why_demand_for_compliance/8eb83556,Demand for compliance
why_demand_for_compliance/89c0a734,Demand for compliance
why_demand_for_compliance/17260a4f,Demand for compliance
why_demand_for_compliance/86dc5c06,Demand for compliance
why_demand_for_compliance/f2992dc2,Demand for compliance
why_demand_for_compliance/6ce82d85,Demand for compliance
why_demand_for_compliance/03cd90bf,Demand for compliance
why_demand_for_compliance/73b36af3,Demand for compliance
why_demand_for_compliance/d7bde351,Demand for compliance
why_fear_of_abel_magwitch/417c0b43,Fear of Abel Magwitch
why_fear_of_abel_magwitch/63d46be2,Fear of Abel Magwitch
why_fear_of_abel_magwitch/49926148,Fear of Abel Magwitch
why_fear_of_abel_magwitch/0cd803fc,Fear of Abel Magwitch
why_fear_of_abel_magwitch/79c65879,Fear of Abel Magwitch
why_fear_of_abel_magwitch/c75748d1,Fear of Abel Magwitch
why_threatening_tone/e26c8c27,Threatening tone
why_to_keep_myself_upon_it/0556ae3b,To keep myself upon it
why_to_keep_myself_from_crying/ee7ef3c5,To keep myself from crying
why_to_keep_myself_upon_it/baf74138,To keep myself upon it
why_to_keep_myself_from_crying/189b4017,To keep myself from crying
why_to_keep_myself_upon_it/2b63a873,To keep myself upon it
why_to_keep_myself_from_crying/583ce2a5,To keep myself from crying
why_to_keep_myself_upon_it/d7f6139c,To keep myself upon it
why_to_keep_myself_from_crying/0dfb6cf0,To keep myself from crying
why_to_keep_myself_upon_it/18ff06be,To keep myself upon it
why_to_keep_myself_from_crying/f212b46c,To keep myself from crying
why_to_keep_myself_upon_it/1ecb84ab,To keep myself upon it
why_to_keep_myself_from_crying/876ebe7e,To keep myself from crying
why_to_keep_myself_upon_it/3e891404,To keep myself upon it
why_to_keep_myself_from_crying/40707da0,To keep myself from crying
why_clarification_of_relationship/e52af96d,Clarification of relationship
why_clarification_of_relationship/a94217f7,Clarification of relationship
why_clarification_of_relationship/522eed2d,Clarification of relationship
why_clarification_of_relationship/e897bf7f,Clarification of relationship
why_clarification_of_relationship/eb403c44,Clarification of relationship
why_clarification_of_relationship/39feca33,Clarification of relationship
why_clarification_of_relationship/91a23ae5,Clarification of relationship
why_clarification_of_relationship/70b6e66c,Clarification of relationship
why_intimidation/628bedf1,Intimidation
why_power_dynamics/710afaac,Power dynamics
why_intimidation/118732fc,Intimidation
why_power_dynamics/363fd257,Power dynamics
why_intimidation/6b17b658,Intimidation
why_power_dynamics/cf0909d0,Power dynamics
why_intimidation/267a582f,Intimidation
why_power_dynamics/1cc81a0e,Power dynamics
why_intimidation/7bdaccb3,Intimidation
why_power_dynamics/cabb788a,Power dynamics
why_intimidation/45f62f7b,Intimidation
why_power_dynamics/1d81f271,Power dynamics
why_fear/8efdbd1f,Fear
why_powerlessness/d9223eef,Powerlessness
why_fear/aeee6b42,Fear
why_powerlessness/cb3d6c15,Powerlessness
why_to_intimidate_philip_pirrip/65ec2fe8,To intimidate Philip Pirrip
why_to_intimidate_philip_pirrip/5dd2d6e9,To intimidate Philip Pirrip
why_desire_to_attend_more/b62e079d,Desire to attend more
why_desire_to_attend_more/69c45279,Desire to attend more
why_desire_to_attend_more/dbaf4f39,Desire to attend more
why_desire_to_attend_more/8f1602c8,Desire to attend more
why_threat_from_abel_magwitch/66c40273,Threat from Abel Magwitch
why_desire_for_safety/aa30b84b,Desire for safety
why_desire_for_safety/0aa447d6,Desire for safety
why_struggle_to_protect/f56e474c,Struggle to protect
why_struggle_to_protect/1eebb57e,Struggle to protect
why_struggle_to_protect/25a76f16,Struggle to protect
why_struggle_to_protect/4b0f529e,Struggle to protect
why_struggle_to_protect/4c30248e,Struggle to protect
why_struggle_to_protect/30b6b63d,Struggle to protect
why_struggle_to_protect/285e6764,Struggle to protect
why_struggle_to_protect/21fde7fe,Struggle to protect
why_struggle_to_protect/7f4c7d9b,Struggle to protect
why_struggle_to_protect/405f0d06,Struggle to protect
why_struggle_to_protect/ccea349a,Struggle to protect
why_struggle_to_protect/275931fe,Struggle to protect
why_injury/c158f404,Injury
why_fear/e57ac73f,Fear
why_fear/71ba53c9,Fear
why_imagined_threat/991cef88,Imagined threat
why_fear/025f7030,Fear
why_imagined_threat/d53df106,Imagined threat
why_fear/ba392a3d,Fear
why_imagined_threat/22ddf838,Imagined threat
why_fear/1c84faf6,Fear
why_imagined_threat/38e4159d,Imagined threat
why_fear/95e29579,Fear
why_imagined_threat/2b26547b,Imagined threat
why_fear/e2d175f4,Fear
why_imagined_threat/6e73cd7f,Imagined threat
why_fear/a541ea97,Fear
why_imagined_threat/8d6cfdda,Imagined threat
why_fear/fc870a66,Fear
why_imagined_threat/48d473e0,Imagined threat
why_injury_to_feet/86e49a30,Injury to feet
why_injury_to_feet/d8e1188b,Injury to feet
why_injury_to_feet/49e555c4,Injury to feet
why_injury_to_feet/cb2fd326,Injury to feet
why_injury_to_feet/f28dfd32,Injury to feet
why_injury_to_feet/c52f1d89,Injury to feet
why_injury_to_feet/6c976df2,Injury to feet
why_injury_to_feet/70177343,Injury to feet
why_injury_to_feet/2695bbbe,Injury to feet
why_injury_to_feet/362302ea,Injury to feet
why_injury_to_feet/b430b276,Injury to feet
why_fear_of_the_horrible_young_man/5466482c,Fear of the horrible young man
why_fear_of_the_horrible_young_man/79c95a97,Fear of the horrible young man
why_fear_of_the_horrible_young_man/21acd1f8,Fear of the horrible young man
