:START_ID,:END_ID,:TYPE,cue,confidence
event/d7951680,event/f6ae651f,ELABORATION,,0.85
event/48d05394,event/a6c40f9c,ELABORATION,,0.69
event/743d4fbc,event/c34319de,PARALLELISM,and,0.83
event/a3d4bb77,event/7b5c834b,ELABORATION,,0.78
event/9b9765db,event/778f70a6,EXPLANATION,,0.63
event/438b3a3a,event/b4cb2d71,ELABORATION,,0.7
event/2ca0bcaf,event/27777f1d,ELABORATION,,0.69
event/c6132117,event/11ae2e86,EXPLANATION,,0.91
event/60bae95e,event/2cb7662a,EXPLANATION,,0.71
event/3f0f9b37,event/0f1024d3,ELABORATION,,0.86
event/b7a5d269,event/c9b639c5,EXPLANATION,,0.71
event/22c10457,event/9b9765db,EXPLANATION,,0.79
event/da031a4e,event/76c84292,EXPLANATION,,0.86
event/726e2076,event/767c177b,ELABORATION,,0.77
event/c3932c02,event/e6bb2642,ELABORATION,,0.95
event/0dfd593f,event/53ce185b,EXPLANATION,,0.86
event/86e918f7,event/8990700b,ELABORATION,,0.66
event/743d4fbc,event/c3fe378d,CONTRAST,,0.63
event/a3216188,event/cf1b80fd,EXPLANATION,,0.66
event/d89b58c1,event/767c177b,ELABORATION,,0.79
event/3df4532d,event/32871eaa,ELABORATION,,0.9
event/a51f0f29,event/d32d7f88,EXPLANATION,,0.66
event/53ce185b,event/76c84292,EXPLANATION,,0.77
event/eb0c3532,event/9c5e2db1,ELABORATION,,0.68
event/b47c920b,event/ae7d6a61,EXPLANATION,,0.84
event/1b72b802,event/5317ab88,ELABORATION,and,0.82
event/11ae2e86,event/b7a5d269,ELABORATION,,0.96
event/c2b35eeb,event/a91c9df4,ELABORATION,,0.86
event/896e1544,event/c0b3806e,ELABORATION,,0.65
event/a51f0f29,event/2cb7662a,ELABORATION,and,0.9
event/c3932c02,event/db9a0998,ELABORATION,,0.81
event/ee2cad29,event/77c8ccb0,ELABORATION,,0.9
event/4cb3e9ab,event/5fe95cb7,ELABORATION,and,0.86
event/81789a8d,event/7fa35558,CONTRAST,,0.58
event/c9b639c5,event/83158509,EXPLANATION,for,0.89
event/7134b103,event/67bfd5a2,EXPLANATION,,0.72
event/77c8ccb0,event/8df4c44b,EXPLANATION,,0.77
event/2b986c40,event/730dc0d9,ELABORATION,,0.84
event/2cb7662a,event/36cef954,ELABORATION,,0.94
event/c8e436e5,event/c34319de,ELABORATION,,0.65
event/b7a5d269,event/01731a0e,CONTRAST,or,0.63
event/da031a4e,event/438b3a3a,ELABORATION,and,0.8
event/1724b172,event/64932905,ELABORATION,and,0.72
event/facd026d,event/9d7957fa,EXPLANATION,so,0.87
event/e853838d,event/c0780b1e,CONTRAST,and,0.83
event/a91c9df4,event/0dfd593f,ELABORATION,,0.63
event/521ed19d,event/fbcf24ae,EXPLANATION,so as to,0.93
event/743d4fbc,event/6d657910,ELABORATION,and,0.63
event/ddbeb2dc,event/797dd73b,ELABORATION,,0.73
event/a523f8ee,event/778f70a6,ELABORATION,,0.6
event/26cdaf54,event/26e4bf50,ELABORATION,,0.9
event/008852c4,event/ad2aade9,CONTRAST,so that,0.6
event/d891be15,event/d47bb26d,PARALLELISM,and,0.93
event/743d4fbc,event/bb95cb0c,PARALLELISM,,0.79
event/778f70a6,event/b97b9705,ELABORATION,and,0.86
event/023c9b67,event/b4f8d757,PARALLELISM,,0.93
event/c7699eff,event/8990700b,EXPLANATION,,0.82
event/11976c1f,event/720517ba,PARALLELISM,,0.64
event/bcc27092,event/1acbe782,ELABORATION,,0.9
event/e75b28f5,event/a3d4bb77,ELABORATION,,0.66
event/9c5e2db1,event/d47bb26d,ELABORATION,,0.7
event/01731a0e,event/d89b58c1,ELABORATION,,0.77
event/7fa35558,event/7134b103,ELABORATION,,0.97
event/1d51f09d,event/ee2cad29,EXPLANATION,,0.82
event/a66f594a,event/797dd73b,ELABORATION,,0.71
event/62862b69,event/6ca104b8,EXPLANATION,,0.78
event/a30c6b5f,event/4ae963ff,ELABORATION,and,0.78
event/11814843,event/ea14b977,ELABORATION,,0.77
event/b4f8d757,event/7a989934,PARALLELISM,,0.63
event/db9a0998,event/023c9b67,ELABORATION,and,0.9
event/b1387a79,event/7b5c834b,ELABORATION,,0.66
event/b092dab2,event/5317ab88,ELABORATION,,0.74
event/9d7957fa,event/cf1b80fd,ELABORATION,,0.63
event/fd26d712,event/4954843b,CONTRAST,,0.63
event/8df4c44b,event/eb4d75a7,ELABORATION,,0.76
event/26e4bf50,event/29c32345,ELABORATION,,0.85
event/32871eaa,event/521ed19d,ELABORATION,so as to,0.94
event/d47bb26d,event/6a91b3a7,EXPLANATION,,0.69
event/3918fbb7,event/f6ae651f,ELABORATION,,0.7
event/7c4425b7,event/26e4bf50,CONTRAST,,0.63
event/facd026d,event/22c10457,ELABORATION,,0.8
event/8990700b,event/a9992339,ELABORATION,,0.93
event/255b6dd1,event/0eb02382,PARALLELISM,,0.82
event/e75b28f5,event/8ee7e2eb,ELABORATION,,0.7
event/f3027707,event/f347a4f6,ELABORATION,,0.6
event/f87fdaca,event/c7699eff,EXPLANATION,,0.83
event/0d183420,event/a51f0f29,ELABORATION,,0.63
event/6ca104b8,event/5d0b2307,ELABORATION,,0.92
event/32871eaa,event/8825d634,EXPLANATION,,0.61
event/fe78c9eb,event/db9a0998,ELABORATION,,0.82
event/c8e436e5,event/bb95cb0c,ELABORATION,,0.68
event/76c84292,event/9c5e2db1,ELABORATION,,0.71
event/c1646130,event/a3216188,EXPLANATION,,0.96
event/52204136,event/1d51f09d,EXPLANATION,,0.86
event/5fe95cb7,event/ba8b47c9,ELABORATION,,0.74
event/778f70a6,event/6523413c,PARALLELISM,,0.98
event/c0b3806e,event/47a76def,ELABORATION,,0.6
event/a3d4bb77,event/47a76def,ELABORATION,,0.89
event/a30c6b5f,event/2ca0bcaf,ELABORATION,and,0.76
event/7fa35558,event/2fc9d697,ELABORATION,,0.95
event/7a989934,event/62862b69,ELABORATION,,0.88
event/ec71585a,event/63603f73,ELABORATION,,0.65
event/77c8ccb0,event/fd26d712,ELABORATION,,0.83
event/720517ba,event/6ca104b8,CONTRAST,,0.79
event/107fe649,event/32871eaa,EXPLANATION,so as to,0.98
event/76eabf46,event/a51f0f29,PARALLELISM,,0.62
event/1d51f09d,event/c2b35eeb,CONTRAST,,0.73
event/7c4425b7,event/29c32345,CONTRAST,,0.62
event/1e53f288,event/b7a5d269,ELABORATION,,0.7
event/399db3c1,event/372a1c59,ELABORATION,,0.8
event/27777f1d,event/255b6dd1,ELABORATION,like,0.97
event/11814843,event/a90b1c74,EXPLANATION,,0.86
event/76eabf46,event/0d183420,ELABORATION,,0.93
event/62862b69,event/ddbeb2dc,ELABORATION,,0.65
event/63603f73,event/1bbd2ae2,ELABORATION,,0.83
event/ca7a388b,event/11976c1f,ELABORATION,,0.65
event/786606eb,event/c1646130,EXPLANATION,,0.68
event/4e722a8d,event/36c8e895,ELABORATION,and,0.8
event/facd026d,event/9b9765db,EXPLANATION,,0.78
event/b4f8d757,event/11976c1f,PARALLELISM,,0.74
event/ba8b47c9,event/8ee7e2eb,ELABORATION,,0.61
event/43693943,event/fe78c9eb,ELABORATION,,0.94
event/4954843b,event/8099b1d2,EXPLANATION,,0.88
event/786606eb,event/facd026d,PARALLELISM,,0.86
event/023c9b67,event/53cc1d59,PARALLELISM,,0.94
event/27777f1d,event/0eb02382,ELABORATION,,0.95
event/96d7094b,event/b47c920b,ELABORATION,,0.93
event/7ec7eac5,event/1d51f09d,EXPLANATION,,0.84
event/20b5fef3,event/7a989934,PARALLELISM,and,0.9
event/77c8ccb0,event/4954843b,CONTRAST,,0.18
event/767c177b,event/f8a5fd33,ELABORATION,,0.84
event/a2c9d6b0,event/9723f584,ELABORATION,,0.76
event/4ae963ff,event/230330ad,CONTRAST,,0.77
event/7fa35558,event/67bfd5a2,EXPLANATION,,0.88
event/ea14b977,event/7fa35558,PARALLELISM,,0.96
event/ad9d9f83,event/c1b96da9,ELABORATION,,0.9
event/767c177b,event/81789a8d,ELABORATION,,0.61
event/730dc0d9,event/1bbd2ae2,PARALLELISM,,0.9
event/eb4d75a7,event/da031a4e,ELABORATION,,0.8
event/9723f584,event/3bcd6c13,ELABORATION,,0.78
event/83158509,event/294e2044,EXPLANATION,,0.6
event/706c097f,event/f8e05f87,ELABORATION,,0.84
event/2ca0bcaf,event/d814aa47,EXPLANATION,,0.83
event/62862b69,event/a66f594a,EXPLANATION,as,0.9
event/17a713f4,event/7c4425b7,ELABORATION,,0.7
event/bcc27092,event/0311e6d6,ELABORATION,,0.86
event/870c571b,event/34922613,ELABORATION,,0.71
event/95a43143,event/de4bc7aa,ELABORATION,,0.76
event/11814843,event/7fa35558,ELABORATION,,0.77
event/008852c4,event/a523f8ee,EXPLANATION,"perhaps, and",0.86
event/0d183420,event/49c15961,ELABORATION,,0.63
event/f6ae651f,event/7c4425b7,CONTRAST,not,0.92
event/0d64ea1c,event/e675d3a4,ELABORATION,,0.7
event/084516f3,event/589d6cf7,ELABORATION,,0.93
event/5d0b2307,event/dec1710a,ELABORATION,,0.96
event/ae911bda,event/83158509,EXPLANATION,for,0.96
event/20315016,event/53eeff4c,ELABORATION,,0.78
event/f87fdaca,event/c519fa6b,PARALLELISM,"that, and that",0.94
event/8c73f61e,event/86e918f7,EXPLANATION,,0.76
event/24bafd19,event/96feff2f,PARALLELISM,"partly, to",0.97
event/2e38448f,event/44f2277b,ELABORATION,,0.77
event/372a1c59,event/76eabf46,ELABORATION,,0.61
event/24f7ffd8,event/77c8ccb0,CONTRAST,,0.6
event/de4bc7aa,event/c34319de,PARALLELISM,you remember,0.82
event/76eabf46,event/49c15961,ELABORATION,"when, and then",0.93
event/3a504040,event/43693943,CONTRAST,,0.7
event/b7555a67,event/fbcf24ae,ELABORATION,,0.62
event/ae911bda,event/726e2076,EXPLANATION,,0.78
event/38b56deb,event/3918fbb7,ELABORATION,,0.96
event/521ed19d,event/8825d634,EXPLANATION,,0.65
event/720517ba,event/a66f594a,ELABORATION,as,0.93
event/20b5fef3,event/11976c1f,PARALLELISM,and,0.89
event/22c10457,event/9d7957fa,EXPLANATION,so,0.86
event/20315016,event/6606d37e,ELABORATION,,0.83
event/8df4c44b,event/4954843b,CONTRAST,,0.87
event/0eb02382,event/36c8e895,ELABORATION,,0.82
event/96d7094b,event/36c8e895,ELABORATION,,0.79
event/8990700b,event/43693943,ELABORATION,,0.84
event/a3216188,event/008852c4,EXPLANATION,"perhaps, shouldn’t",0.63
event/b97b9705,event/7ec7eac5,ELABORATION,,0.86
event/7c4425b7,event/0d64ea1c,EXPLANATION,,0.69
event/eb4d75a7,event/53ce185b,ELABORATION,,0.92
event/26cdaf54,event/7c4425b7,ELABORATION,,0.76
event/30115faa,event/d7951680,ELABORATION,,0.77
event/6a91b3a7,event/c8e436e5,ELABORATION,,0.73
event/c9b639c5,event/d89b58c1,ELABORATION,,0.9
event/a523f8ee,event/ad2aade9,CONTRAST,,0.52
event/43693943,event/f8e05f87,ELABORATION,,0.93
event/4954843b,event/0dfd593f,ELABORATION,,0.71
event/48d05394,event/ba8b47c9,ELABORATION,,0.82
event/e13f2e10,event/ec71585a,ELABORATION,,0.6
event/6c65ea76,event/96feff2f,EXPLANATION,to,0.95
event/eb0c3532,event/b4cb2d71,ELABORATION,,0.82
event/dec1710a,event/a7344f50,ELABORATION,,0.79
event/01cd91e0,event/96d7094b,CONTRAST,,0.68
event/7134b103,event/b092dab2,EXPLANATION,,0.93
event/e6bb2642,event/b4f8d757,PARALLELISM,,0.91
event/f8a5fd33,event/81789a8d,EXPLANATION,,0.85
event/c6132117,event/fdf1bfba,ELABORATION,,0.72
event/f8a5fd33,event/a90b1c74,EXPLANATION,,0.86
event/b7555a67,event/f347a4f6,ELABORATION,,0.62
event/5a0ea536,event/11ae2e86,EXPLANATION,,0.92
event/a30c6b5f,event/b875c8ad,ELABORATION,as,0.9
event/b47c920b,event/36c8e895,PARALLELISM,,0.71
event/ca7a388b,event/20b5fef3,EXPLANATION,,0.76
event/5fe95cb7,event/896e1544,CONTRAST,,0.63
event/b4f8d757,event/20b5fef3,ELABORATION,,0.83
event/a2c9d6b0,event/44f2277b,ELABORATION,,0.64
event/8099b1d2,event/da031a4e,CONTRAST,,0.77
event/d3717949,event/3f0f9b37,ELABORATION,,0.57
event/edb05980,event/4ae963ff,CONTRAST,not nearly so,0.73
event/fd26d712,event/8df4c44b,EXPLANATION,,0.86
event/dec1710a,event/85a97a09,ELABORATION,,0.77
event/726e2076,event/f8a5fd33,EXPLANATION,,0.86
event/730dc0d9,event/c519fa6b,ELABORATION,,0.86
event/67bfd5a2,event/a9e308a0,ELABORATION,,0.97
event/47a76def,event/7b5c834b,ELABORATION,,0.77
event/de4bc7aa,event/bb95cb0c,PARALLELISM,,0.78
event/b092dab2,event/e13f2e10,ELABORATION,,0.63
event/e853838d,event/e9ad5a77,PARALLELISM,,0.76
event/f5d89757,event/ad9d9f83,EXPLANATION,,0.76
event/8ee7e2eb,event/47a76def,EXPLANATION,,0.6
event/023c9b67,event/e6bb2642,PARALLELISM,,0.86
event/c1b96da9,event/38b56deb,ELABORATION,,0.61
event/c2b35eeb,event/77c8ccb0,ELABORATION,,0.86
event/4ae963ff,event/27777f1d,CONTRAST,,0.86
event/f8e05f87,event/023c9b67,ELABORATION,,0.91
event/0311e6d6,event/107fe649,ELABORATION,,0.76
event/b97b9705,event/aab7946a,ELABORATION,,0.87
event/6c65ea76,event/24bafd19,EXPLANATION,to,0.96
event/c9e36e7d,event/30115faa,ELABORATION,,0.7
event/b97b9705,event/52204136,ELABORATION,,0.76
event/595dadc8,event/e9ad5a77,EXPLANATION,,0.65
event/9d7957fa,event/008852c4,EXPLANATION,,0.61
event/7134b103,event/2fc9d697,ELABORATION,,0.96
event/86e918f7,event/c7699eff,ELABORATION,,0.98
event/de4bc7aa,event/743d4fbc,PARALLELISM,,0.98
event/9723f584,event/44f2277b,ELABORATION,,0.98
event/edb05980,event/2ca0bcaf,CONTRAST,,0.66
event/c0780b1e,event/64932905,EXPLANATION,,0.63
event/96d7094b,event/ae7d6a61,EXPLANATION,,0.93
event/d7951680,event/26cdaf54,ELABORATION,,0.89
event/dd107795,event/7b5c834b,ELABORATION,,0.89
event/cf1b80fd,event/a523f8ee,EXPLANATION,"and, perhaps",0.9
event/0d64ea1c,event/29c32345,ELABORATION,,0.86
event/63603f73,event/f87fdaca,PARALLELISM,,0.86
event/c1646130,event/22c10457,ELABORATION,,0.93
event/0dfd593f,event/8099b1d2,EXPLANATION,,0.83
event/720517ba,event/7a989934,PARALLELISM,,0.86
event/ba8b47c9,event/c0b3806e,ELABORATION,,0.7
event/b440fa91,event/bcc27092,ELABORATION,,0.76
event/b60966ab,event/ad9d9f83,ELABORATION,,0.77
event/bcc27092,event/09decda8,ELABORATION,,0.9
event/a9992339,event/c3932c02,ELABORATION,,0.78
event/09decda8,event/f441a389,ELABORATION,,0.65
event/6272095c,event/107fe649,EXPLANATION,,0.73
event/d7951680,event/17a713f4,ELABORATION,,0.86
event/ad2aade9,event/453b314b,ELABORATION,,0.62
event/453b314b,event/7ec7eac5,ELABORATION,,0.75
event/7ec7eac5,event/ee2cad29,EXPLANATION,,0.83
event/fbcf24ae,event/786606eb,PARALLELISM,,0.86
event/a51f0f29,event/60bae95e,EXPLANATION,when,0.94
event/67bfd5a2,event/1b72b802,ELABORATION,,0.98
event/27777f1d,event/01cd91e0,ELABORATION,,0.83
event/f347a4f6,event/c1646130,EXPLANATION,,0.68
event/1acbe782,event/0311e6d6,PARALLELISM,,0.9
event/8ee7e2eb,event/b1387a79,ELABORATION,,0.86
event/230330ad,event/255b6dd1,ELABORATION,like,0.91
event/76c84292,event/b4cb2d71,ELABORATION,,0.94
event/11976c1f,event/62862b69,ELABORATION,,0.97
event/60bae95e,event/79fb6853,ELABORATION,"But, presently",0.8
event/36cef954,event/4ae963ff,CONTRAST,"just, not nearly so",0.86
event/797dd73b,event/85a97a09,ELABORATION,,0.73
event/f347a4f6,event/facd026d,PARALLELISM,,0.86
event/f3027707,event/c1646130,CONTRAST,,0.7
event/6a91b3a7,event/95a43143,PARALLELISM,,1.0
event/372a1c59,event/0d183420,CONTRAST,,0.76
event/da031a4e,event/eb0c3532,ELABORATION,,0.9
event/e6bb2642,event/53cc1d59,PARALLELISM,,0.94
event/e9ad5a77,event/c0780b1e,ELABORATION,and,0.95
event/730dc0d9,event/f87fdaca,ELABORATION,,0.79
event/6d657910,event/a2c9d6b0,CONTRAST,or,0.76
event/44f2277b,event/20315016,ELABORATION,,0.66
event/38b56deb,event/26cdaf54,ELABORATION,,0.69
event/e9ad5a77,event/514818e6,EXPLANATION,"but, again",0.83
event/ddbeb2dc,event/dec1710a,ELABORATION,,0.9
event/db9a0998,event/53cc1d59,ELABORATION,and,0.93
event/1b882f23,event/b440fa91,ELABORATION,,0.67
event/6272095c,event/521ed19d,EXPLANATION,,0.86
event/38b56deb,event/17a713f4,PARALLELISM,,0.72
event/7a989934,event/6ca104b8,CONTRAST,,0.73
event/30115faa,event/38b56deb,ELABORATION,,0.73
event/a51f0f29,event/79fb6853,CONTRAST,"but, presently",0.84
event/2fc9d697,event/67bfd5a2,EXPLANATION,,0.76
event/b4f8d757,event/720517ba,PARALLELISM,,0.71
event/b875c8ad,event/230330ad,CONTRAST,,0.68
event/786606eb,event/a3216188,EXPLANATION,,0.82
event/aab7946a,event/1d51f09d,EXPLANATION,,0.86
event/821d1a85,event/36cef954,ELABORATION,,0.9
event/294e2044,event/a90b1c74,PARALLELISM,,0.78
event/1bbd2ae2,event/86e918f7,CONTRAST,,0.63
event/797dd73b,event/dec1710a,ELABORATION,,0.86
event/5325194c,event/1724b172,PARALLELISM,,0.88
event/c3932c02,event/ca7a388b,ELABORATION,,0.89
event/f6ae651f,event/cc4f048f,CONTRAST,,0.85
event/1e53f288,event/c6132117,EXPLANATION,,0.96
event/fbe8a573,event/c1b96da9,CONTRAST,,0.7
event/821d1a85,event/a30c6b5f,ELABORATION,as,0.76
event/f8e05f87,event/e6bb2642,ELABORATION,,0.87
event/453b314b,event/aab7946a,ELABORATION,,0.76
event/51b5f030,event/1bbd2ae2,PARALLELISM,also,0.97
event/7fa35558,event/b092dab2,EXPLANATION,,0.84
event/6c65ea76,event/e675d3a4,ELABORATION,,0.87
event/453b314b,event/52204136,ELABORATION,,0.8
event/53cc1d59,event/b4f8d757,PARALLELISM,,0.94
event/fbcf24ae,event/f3027707,ELABORATION,,0.63
event/52204136,event/24f7ffd8,CONTRAST,,0.76
event/22c10457,event/cf1b80fd,CONTRAST,,0.83
event/b7555a67,event/8825d634,ELABORATION,,0.52
event/b47c920b,event/e853838d,ELABORATION,,0.69
event/48d05394,event/5fe95cb7,ELABORATION,,0.82
event/20b5fef3,event/62862b69,ELABORATION,and,0.98
event/bb95cb0c,event/2e38448f,ELABORATION,,0.77
event/6ca104b8,event/797dd73b,ELABORATION,,0.72
event/b440fa91,event/0f1024d3,EXPLANATION,,0.66
event/ae911bda,event/d89b58c1,ELABORATION,,0.86
event/f8e05f87,event/db9a0998,ELABORATION,,0.78
event/c34319de,event/2e38448f,ELABORATION,,0.8
event/3918fbb7,event/26cdaf54,CONTRAST,,0.63
event/63603f73,event/730dc0d9,ELABORATION,,0.86
event/2a37fd23,event/ee2cad29,EXPLANATION,,0.8
event/27777f1d,event/d814aa47,ELABORATION,,0.94
event/767c177b,event/294e2044,ELABORATION,,0.9
event/83158509,event/726e2076,EXPLANATION,,0.69
event/c8e436e5,event/de4bc7aa,ELABORATION,,0.7
event/ae7d6a61,event/e853838d,ELABORATION,as,0.76
event/b4cb2d71,event/63141bdd,ELABORATION,,0.72
event/26cdaf54,event/cc4f048f,EXPLANATION,,0.83
event/372a1c59,event/49c15961,ELABORATION,and then,0.77
event/09decda8,event/0311e6d6,PARALLELISM,,0.98
event/1ce99c7f,event/821d1a85,ELABORATION,,0.88
event/0d183420,event/d32d7f88,ELABORATION,,0.64
event/c519fa6b,event/8c73f61e,PARALLELISM,,0.93
event/8df4c44b,event/53ce185b,ELABORATION,,0.86
event/d814aa47,event/255b6dd1,ELABORATION,,0.86
event/7a989934,event/ddbeb2dc,CONTRAST,,0.72
event/8990700b,event/fe78c9eb,ELABORATION,,0.96
event/230330ad,event/27777f1d,CONTRAST,,0.74
event/706c097f,event/a9992339,PARALLELISM,,1.0
event/7ec7eac5,event/24f7ffd8,ELABORATION,,0.91
event/ddbeb2dc,event/5d0b2307,ELABORATION,,0.94
event/b092dab2,event/a9e308a0,ELABORATION,,0.83
event/eb0c3532,event/d47bb26d,ELABORATION,,0.78
event/20b5fef3,event/720517ba,PARALLELISM,and,0.86
event/f441a389,event/107fe649,ELABORATION,,0.79
event/c519fa6b,event/86e918f7,ELABORATION,,0.6
event/6272095c,event/b7555a67,ELABORATION,,0.63
event/95a43143,event/c8e436e5,ELABORATION,,0.73
event/d814aa47,event/0eb02382,CONTRAST,,0.79
event/c6132117,event/5a0ea536,ELABORATION,and,0.93
event/595dadc8,event/e853838d,ELABORATION,"when, as",0.78
event/76eabf46,event/d32d7f88,CONTRAST,,0.6
event/c7699eff,event/706c097f,EXPLANATION,,0.94
event/b875c8ad,event/4ae963ff,PARALLELISM,"and, just another, not nearly so",0.96
event/cf1b80fd,event/6523413c,CONTRAST,,0.76
event/edb05980,event/b875c8ad,ELABORATION,,0.73
event/d891be15,event/95a43143,EXPLANATION,"said, if you don’t",0.82
event/6523413c,event/b97b9705,ELABORATION,and,0.86
event/752c41b7,event/c1646130,CONTRAST,or,0.9
event/11814843,event/81789a8d,EXPLANATION,,0.86
event/8825d634,event/752c41b7,ELABORATION,,0.83
event/f8a5fd33,event/11814843,ELABORATION,,0.79
event/a91c9df4,event/4954843b,ELABORATION,,0.7
event/aab7946a,event/7ec7eac5,ELABORATION,,0.86
event/29c32345,event/9ad90b59,CONTRAST,,0.78
event/f3027707,event/786606eb,ELABORATION,,0.6
event/a66f594a,event/5d0b2307,EXPLANATION,,0.78
event/a9992339,event/fe78c9eb,ELABORATION,,0.93
event/ae7d6a61,event/1724b172,ELABORATION,,0.78
event/85a97a09,event/f5d89757,PARALLELISM,,0.78
event/11ae2e86,event/c9b639c5,EXPLANATION,"as, never",0.96
event/752c41b7,event/facd026d,ELABORATION,,0.65
event/2a37fd23,event/c2b35eeb,CONTRAST,,0.86
event/e675d3a4,event/96feff2f,EXPLANATION,"to, partly",0.77
event/4ae963ff,event/d814aa47,ELABORATION,,0.73
event/7a989934,event/a66f594a,ELABORATION,as,0.9
event/b60966ab,event/c1b96da9,ELABORATION,,0.78
event/53ce185b,event/da031a4e,EXPLANATION,,0.7
event/6a91b3a7,event/743d4fbc,EXPLANATION,,0.76
event/a90b1c74,event/ea14b977,CONTRAST,,0.58
event/d7951680,event/cc4f048f,EXPLANATION,,0.77
event/f441a389,event/521ed19d,EXPLANATION,so as to,0.89
event/5d0b2307,event/85a97a09,CONTRAST,,0.7
event/f3027707,event/752c41b7,ELABORATION,,0.78
event/34922613,event/5fe95cb7,ELABORATION,and,0.88
event/b875c8ad,event/27777f1d,ELABORATION,,0.86
event/d50c7eca,event/b97b9705,ELABORATION,and,0.86
event/1ce99c7f,event/36cef954,ELABORATION,,0.86
event/b875c8ad,event/2ca0bcaf,ELABORATION,and,0.95
event/6d3f3d98,event/b440fa91,PARALLELISM,,0.86
event/595dadc8,event/1724b172,PARALLELISM,,0.86
event/b092dab2,event/1b72b802,ELABORATION,,0.86
event/2b986c40,event/51b5f030,ELABORATION,,0.68
event/db9a0998,event/e6bb2642,ELABORATION,and,0.89
event/e75b28f5,event/b1387a79,PARALLELISM,,0.6
event/32871eaa,event/b7555a67,ELABORATION,,0.86
event/ca7a388b,event/b4f8d757,PARALLELISM,,0.97
event/44f2277b,event/53eeff4c,ELABORATION,as if,0.84
event/9c5e2db1,event/d891be15,EXPLANATION,,0.83
event/778f70a6,event/d50c7eca,ELABORATION,,0.83
